"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\Bullet.cs", "C#", 102, 1, 23, 126
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\BulletPool.cs", "C#", 41, 0, 12, 53
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\Interfaces.cs", "C#", 13, 0, 3, 16
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\TankCollisionDamage.cs", "C#", 67, 0, 24, 91
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\TankHealth.cs", "C#", 77, 0, 19, 96
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\TeamComponent.cs", "C#", 7, 0, 2, 9
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Base\TeamMarker.cs", "C#", 90, 0, 18, 108
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Enums\CapturePointEnum.cs", "C#", 6, 0, 1, 7
"c:\Users\karen\Armor Echo\Assets\Scripts\Core\Enums\TeamEnum.cs", "C#", 6, 0, 1, 7
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\HealthAiDisplay.cs", "C#", 51, 0, 16, 67
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\HealthMarker.cs", "C#", 83, 0, 15, 98
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\AI\TankAi.cs", "C#", 516, 1, 84, 601
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\CaptureSystem\CapturePoint.cs", "C#", 227, 0, 65, 292
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\TankMovement.cs", "C#", 195, 0, 52, 247
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\TankShoot.cs", "C#", 120, 0, 29, 149
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\TankSniperView.cs", "C#", 156, 0, 41, 197
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\TankTrack.cs", "C#", 18, 0, 6, 24
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\TankWheelSetup.cs", "C#", 42, 0, 22, 64
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\TrackController.cs", "C#", 49, 0, 14, 63
"c:\Users\karen\Armor Echo\Assets\Scripts\GamePlay\Vehicles\Tank\TurretAiming.cs", "C#", 149, 0, 37, 186
"c:\Users\karen\Armor Echo\Assets\Scripts\Networking\GameNetUiManager.cs", "C#", 20, 0, 4, 24
"c:\Users\karen\Armor Echo\Assets\Scripts\Networking\MenuNetworkUI.cs", "C#", 18, 0, 7, 25
"c:\Users\karen\Armor Echo\Assets\Scripts\Networking\NetworkOwnerInput.cs", "C#", 18, 0, 2, 20
"c:\Users\karen\Armor Echo\Assets\Scripts\Networking\PersistentNetworkManager.cs", "C#", 32, 0, 7, 39
"c:\Users\karen\Armor Echo\Assets\Scripts\Networking\PlayerSetup.cs", "C#", 0, 40, 6, 46
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\AudioManager.cs", "C#", 23, 0, 4, 27
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\CursorManager.cs", "C#", 32, 0, 8, 40
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\GameManager.cs", "C#", 225, 0, 47, 272
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\GameUIManager.cs", "C#", 259, 0, 63, 322
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\LevelInitializer.cs", "C#", 8, 0, 1, 9
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\LevelSelectManager.cs", "C#", 80, 0, 22, 102
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\MenuManager.cs", "C#", 13, 0, 3, 16
"c:\Users\karen\Armor Echo\Assets\Scripts\Systems\MusicManager.cs", "C#", 53, 0, 10, 63
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\FpsDisplay.cs", "C#", 25, 0, 7, 32
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\HealthDisplay.cs", "C#", 41, 0, 9, 50
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\KillLogDisplay.cs", "C#", 107, 0, 20, 127
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\ReloadDisplay.cs", "C#", 42, 0, 5, 47
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\SpeedDisplay.cs", "C#", 20, 0, 4, 24
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\StarsDisplay.cs", "C#", 55, 0, 14, 69
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\TankCountDisplay.cs", "C#", 46, 1, 12, 59
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\Displays\TicketsDisplay.cs", "C#", 74, 0, 16, 90
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\HUD\CameraSwitchers.cs", "C#", 22, 0, 6, 28
"c:\Users\karen\Armor Echo\Assets\Scripts\UI\HUD\CrossHairAim.cs", "C#", 44, 0, 8, 52
"Total", "-", 3272, 43, 769, 4084